Time_Now;MBytes_Received;MME
2;0;0;
3;0;0;
4;0;0;
5;0;0;
6;1.3;0.65;
7;0;0.325;
8;0;0.1625;
9;1.3;0.73125;
10;0;0.365625;
11;1.3;0.832812;
12;0;0.416406;
13;0;0.208203;
14;0.8;0.504102;
15;0.8;0.652051;
16;0.8;0.726025;
17;0;0.363013;
18;0.8;0.581506;
19;0;0.290753;
20;0.8;0.545377;
21;0.8;0.672688;
22;0;0.336344;
23;0.8;0.568172;
24;0;0.284086;
25;0.8;0.542043;
26;0.8;0.671022;
27;0;0.335511;
28;0.8;0.567755;
29;0.8;0.683878;
30;0;0.341939;
31;0.8;0.570969;
32;0.8;0.685485;
33;0;0.342742;
34;0.8;0.571371;
35;0.8;0.685686;
36;0;0.342843;
37;0.8;0.571421;
38;0.8;0.685711;
39;0;0.342855;
40;0.8;0.571428;
41;0.8;0.685714;
42;0.8;0.742857;
43;1.3;1.02143;
44;0;0.510714;
45;0;0.255357;
46;0;0.127679;
47;0;0.0638393;
48;0;0.0319196;
49;0;0.0159598;
50;0;0.00797991;
51;0;0.00398995;
52;0;0.00199498;
53;0;0.000997489;
54;0;0.000498744;
55;0;0.000249372;
56;0;0.000124686;
57;0;6.2343e-05;
58;0;3.11715e-05;
59;0;1.55858e-05;
60;0;7.79288e-06;
61;0;3.89644e-06;
62;0;1.94822e-06;
63;0;9.7411e-07;
64;0;4.87055e-07;
65;0;2.43528e-07;
